DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q3,153.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q2,151.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q1,150.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2023-Q4,149.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q2,68.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q1,67.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1997-Q4,67.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q4,72,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q3,71.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q2,70.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2002-Q1,76.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q4,76.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q3,75.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q2,75,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q1,74.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q4,73.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q3,73.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q2,72.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q1,71.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q4,71.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q3,71,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2011-Q4,110.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q1,70,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q4,69.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q3,68.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2010-Q1,103.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2009-Q4,102.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2009-Q3,102,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2009-Q2,101.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2009-Q1,100.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2008-Q4,99.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2008-Q3,98.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2008-Q2,97.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2008-Q1,96.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2007-Q4,95.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2007-Q3,94.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2007-Q2,93.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2007-Q1,92.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2006-Q4,91.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2006-Q3,90.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2006-Q2,89.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2006-Q1,89.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2005-Q4,88.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2005-Q3,87.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2005-Q2,86.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2005-Q1,85.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2004-Q4,84.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2004-Q3,84,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2004-Q2,82.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2004-Q1,82.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2003-Q4,81.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2003-Q3,81.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1997-Q3,66.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2003-Q1,79.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2002-Q4,78.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2002-Q3,78.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2002-Q2,77.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2023-Q3,147.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2023-Q2,145.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2023-Q1,144.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2022-Q4,143.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2022-Q3,142.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2022-Q2,140.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2022-Q1,139.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2021-Q4,138.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2021-Q3,137.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2021-Q2,136.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2021-Q1,136.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2020-Q4,135.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2020-Q3,134.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2020-Q2,134.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2020-Q1,134.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2019-Q4,133.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2019-Q3,132.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2019-Q2,131.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2019-Q1,131.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2018-Q4,130.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2018-Q3,130,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2018-Q2,128.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2018-Q1,128.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2017-Q4,127.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2017-Q3,127.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2017-Q2,126.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2017-Q1,125.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2016-Q4,125.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2016-Q3,124.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2016-Q2,123.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2016-Q1,123.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2015-Q4,122.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2015-Q3,122.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2015-Q2,121.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2015-Q1,120.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2014-Q4,120.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2014-Q3,119.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2014-Q2,118.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2014-Q1,118,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2013-Q4,117.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2013-Q3,116.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2013-Q2,115.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2013-Q1,115,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2012-Q4,114.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2012-Q3,113.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2012-Q2,112.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2011-Q4,111.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1999-Q1,66.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1998-Q4,65.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1998-Q3,65.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1998-Q2,65.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1998-Q1,64.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1997-Q4,64.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1997-Q3,64,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2003-Q1,75.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2002-Q4,74.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2002-Q3,74.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2002-Q2,73.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2002-Q1,73,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q2,70.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2011-Q3,109.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2011-Q2,108.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2011-Q1,107.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2010-Q4,106.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2010-Q3,105.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2010-Q2,104.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q1,70.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2000-Q4,69.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2000-Q3,69.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2000-Q2,68.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2000-Q1,68,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1999-Q4,67.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1999-Q3,67.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,1999-Q2,67.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2011-Q3,110.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2011-Q2,109.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2011-Q1,108.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2010-Q4,107.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2010-Q3,106,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2010-Q2,105.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2010-Q1,104,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2009-Q4,102.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2009-Q3,102.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2009-Q2,101.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2009-Q1,100.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2008-Q4,99.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2008-Q3,98.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2008-Q2,97.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2008-Q1,95.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2007-Q4,93.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2007-Q3,92.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2007-Q2,91.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2007-Q1,89.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2006-Q4,88.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2006-Q3,87.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2006-Q2,86.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2006-Q1,84.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2005-Q4,83.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2005-Q3,83,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2005-Q2,81.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2005-Q1,80.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2004-Q4,80.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2004-Q3,79,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2004-Q2,78,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2004-Q1,77.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2003-Q4,77,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2003-Q3,76.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2003-Q2,75.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2026-Q1,160.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2025-Q4,159.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2025-Q3,157.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2025-Q2,156.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2025-Q1,154.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2024-Q4,153.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2024-Q3,152.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2024-Q2,151.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2024-Q1,149.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2023-Q4,148.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2023-Q3,146.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2023-Q2,145.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2023-Q1,143.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2022-Q4,142.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2022-Q3,141,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2022-Q2,139.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2022-Q1,138.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2021-Q4,138.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2021-Q3,137.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2021-Q2,136.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2021-Q1,136.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2020-Q4,135.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2020-Q3,135.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2020-Q2,134.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2020-Q1,134.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2019-Q4,133.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2019-Q3,133,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2019-Q2,132.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2019-Q1,131.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2018-Q4,130.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2018-Q3,130.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2018-Q2,129.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2018-Q1,128.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2017-Q4,128.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2017-Q3,128.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2017-Q2,127.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2017-Q1,126.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2016-Q4,126.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2016-Q3,126.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2016-Q2,126.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2016-Q1,126.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2015-Q4,125.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2015-Q3,125.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2015-Q2,124.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2015-Q1,124.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2014-Q4,123.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2014-Q3,122.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2014-Q2,122.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2014-Q1,121.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2013-Q4,120.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2013-Q3,119.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2013-Q2,119.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2013-Q1,118.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2012-Q4,117.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2012-Q3,116.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2012-Q2,115.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2012-Q1,111.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2012-Q1,113.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2003-Q2,80.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2026-Q1,160.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2025-Q4,159.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2025-Q3,158.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2025-Q2,156.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2025-Q1,155.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q4,154.1,IN,,,
