year,k_all,k_market,k_mining,k_nonmining_market,k_dwellings,k_pubadm,k_edu,k_health
1960,798583.0,410477.0,9961.0,400516.0,295607.0,43495.0,34871.0,14133.0
1961,847513.0,437880.0,10993.0,426887.0,313515.0,44197.0,36815.0,15106.0
1962,894740.0,466007.0,12244.0,453763.0,328952.0,45025.0,38663.0,16093.0
1963,945494.0,495548.0,14282.0,481266.0,346412.0,45888.0,40511.0,17135.0
1964,1003665.0,528192.0,16333.0,511859.0,366499.0,48218.0,42452.0,18304.0
1965,1067510.0,562135.0,19429.0,542706.0,390065.0,51092.0,44687.0,19531.0
1966,1137782.0,601447.0,24948.0,576499.0,412848.0,55190.0,47386.0,20911.0
1967,1211318.0,642408.0,30570.0,611838.0,436377.0,60337.0,49930.0,22266.0
1968,1291244.0,686506.0,37898.0,648608.0,462509.0,66188.0,52515.0,23526.0
1969,1376506.0,732846.0,47226.0,685620.0,492220.0,71341.0,55241.0,24858.0
1970,1462163.0,777888.0,58162.0,719726.0,525110.0,74720.0,58144.0,26301.0
1971,1547539.0,822893.0,72552.0,750341.0,557491.0,78001.0,61143.0,28011.0
1972,1634954.0,866545.0,85650.0,780895.0,593030.0,81400.0,64326.0,29653.0
1973,1721594.0,905490.0,91089.0,814401.0,632150.0,85285.0,67425.0,31244.0
1974,1811563.0,948390.0,96237.0,852153.0,671054.0,88768.0,70507.0,32844.0
1975,1883124.0,981455.0,100859.0,880596.0,699158.0,92868.0,74964.0,34679.0
1976,1958245.0,1008975.0,103415.0,905560.0,735670.0,97266.0,78869.0,37465.0
1977,2036398.0,1034600.0,104618.0,929982.0,777901.0,101628.0,81896.0,40373.0
1978,2117012.0,1062338.0,108173.0,954165.0,821276.0,105364.0,85126.0,42908.0
1979,2209804.0,1102613.0,113468.0,989145.0,864437.0,108814.0,88339.0,45601.0
1980,2300271.0,1139256.0,118693.0,1020563.0,911532.0,111653.0,90174.0,47656.0
1981,2409531.0,1188523.0,129196.0,1059327.0,966036.0,113991.0,91587.0,49394.0
1982,2525390.0,1248121.0,145075.0,1103046.0,1018199.0,116295.0,92561.0,50214.0
1983,2610627.0,1293005.0,160621.0,1132384.0,1054769.0,118675.0,93283.0,50895.0
1984,2700472.0,1336217.0,168207.0,1168010.0,1095687.0,122346.0,94271.0,51951.0
1985,2803735.0,1385171.0,173785.0,1211386.0,1142710.0,126806.0,95438.0,53610.0
1986,2913087.0,1439992.0,180946.0,1259046.0,1188786.0,131497.0,97027.0,55785.0
1987,3014941.0,1495480.0,187473.0,1308007.0,1227095.0,136849.0,98349.0,57168.0
1988,3126268.0,1559333.0,193840.0,1365493.0,1268042.0,140546.0,99569.0,58778.0
1989,3255398.0,1630390.0,199236.0,1431154.0,1319526.0,144486.0,100740.0,60256.0
1990,3374955.0,1694280.0,203026.0,1491254.0,1367929.0,148759.0,102166.0,61821.0
1991,3456836.0,1729659.0,206390.0,1523269.0,1407473.0,153004.0,103546.0,63154.0
1992,3520457.0,1748318.0,208739.0,1539579.0,1446087.0,157346.0,104413.0,64293.0
1993,3592227.0,1765437.0,214515.0,1550922.0,1494007.0,160623.0,106333.0,65827.0
1994,3670937.0,1783979.0,220072.0,1563907.0,1547464.0,163679.0,108016.0,67799.0
1995,3771560.0,1822386.0,229003.0,1593383.0,1601966.0,167594.0,109784.0,69830.0
1996,3870308.0,1872061.0,239332.0,1632729.0,1644113.0,170878.0,111727.0,71529.0
1997,3979868.0,1933208.0,251746.0,1681462.0,1684723.0,174180.0,113864.0,73893.0
1998,4106699.0,1999361.0,270017.0,1729344.0,1737661.0,176582.0,115688.0,77407.0
1999,4237306.0,2063779.0,282762.0,1781017.0,1795670.0,180388.0,117264.0,80205.0
2000,4383182.0,2130115.0,284308.0,1845807.0,1865351.0,184673.0,119225.0,83818.0
2001,4482066.0,2182333.0,285510.0,1896823.0,1903781.0,186985.0,121574.0,87393.0
2002,4603629.0,2240391.0,292863.0,1947528.0,1956959.0,189839.0,124992.0,91448.0
2003,4761128.0,2319579.0,305313.0,2014266.0,2021712.0,195096.0,128635.0,96106.0
2004,4939527.0,2413448.0,318879.0,2094569.0,2093297.0,199468.0,132188.0,101126.0
2005,5123006.0,2514309.0,333826.0,2180483.0,2161165.0,205491.0,135892.0,106149.0
2006,5324923.0,2641427.0,365352.0,2276075.0,2219899.0,212397.0,139782.0,111418.0
2007,5525600.0,2771799.0,404778.0,2367021.0,2273749.0,218588.0,143998.0,117466.0
2008,5754875.0,2926381.0,454799.0,2471582.0,2326729.0,228677.0,148588.0,124500.0
2009,5969120.0,3072534.0,512371.0,2560163.0,2374385.0,235913.0,153876.0,132412.0
2010,6180552.0,3196182.0,557066.0,2639116.0,2423123.0,250153.0,170763.0,140331.0
2011,6395483.0,3329386.0,618927.0,2710459.0,2469001.0,264560.0,185056.0,147480.0
2012,6653563.0,3523618.0,738121.0,2785497.0,2503905.0,281243.0,192049.0,152748.0
2013,6912803.0,3727430.0,879987.0,2847443.0,2537907.0,291226.0,196748.0,159492.0
2014,7143266.0,3897938.0,998809.0,2899129.0,2578848.0,298672.0,201088.0,166720.0
2015,7336503.0,4021086.0,1076342.0,2944744.0,2629442.0,307063.0,204157.0,174755.0
2016,7496657.0,4100631.0,1114166.0,2986465.0,2689753.0,317033.0,206153.0,183087.0
2017,7646256.0,4164874.0,1125240.0,3039634.0,2751062.0,329622.0,209642.0,191056.0
2018,7812684.0,4240998.0,1131512.0,3109486.0,2809188.0,347828.0,213769.0,200901.0
2019,7962128.0,4300560.0,1127080.0,3173480.0,2863465.0,365758.0,218811.0,213534.0
2020,8089126.0,4353503.0,1126069.0,3227434.0,2903518.0,383470.0,223177.0,225458.0
2021,8226227.0,4413579.0,1124946.0,3288633.0,2947040.0,402333.0,227542.0,235733.0
2022,8388735.0,4493794.0,1128363.0,3365431.0,2993553.0,422328.0,232544.0,246516.0
2023,8549736.0,4577989.0,1130469.0,3447520.0,3034085.0,441775.0,238009.0,257878.0
2024,8720231.0,4672677.0,1135644.0,3537033.0,3071391.0,461489.0,245655.0,269019.0
2025,8888463.0,4761755.0,1138072.0,3623683.0,3113167.0,481877.0,251741.0,279923.0
